slug,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,female_ratio,header_count,male_ratio,num_female,num_male,readability,stars,total_num_commits,total_num_contributors,compound,has_url,contrib,coc,readMeLength
OutThisLife/imgblur,0,0,0,0.0,2,1.0,0,1,33.41,71,31,1,-0.4767,True,0,0,3
isaacadams/quickcommands-cli,1,1,1,0.0,0,1.0,0,1,-11.42,0,29,1,0.0516,False,0,0,1
holidaycheck/push-docker-image,2,2,2,0.0,1,1.0,0,4,-190.44,0,68,4,0.7979999999999999,False,0,0,8
cesardeazevedo/react-native-bottom-sheet-behavior,3,3,3,0.2222222222222222,11,0.7777777777777778,2,7,-731.78,569,207,9,0.9925,False,0,0,34
harvard-edtech/caccl,4,4,4,0.0,2,1.0,0,2,-90.78,0,241,2,0.4404,False,0,0,3
nicolaspearson/node.typeorm.infrastructure,5,5,5,0.0,0,1.0,0,1,-317.63,0,18,1,0.6486,False,0,0,17
OpusCapita/react-splitpane,6,6,6,0.5,0,0.5,3,3,-138.74,1,15,6,0.7269,False,0,0,10
Ghosh/hyperterm-solarized-dark,7,7,7,0.0,0,0.9,0,9,-43.25,18,53,10,0.0,False,0,0,6
resin-io-modules/resin-cli-form,8,8,8,0.16666666666666666,0,0.6666666666666666,1,4,-99.06,0,72,6,0.9728,False,0,0,13
baianat/blexar,9,9,9,0.0,3,1.0,0,4,-123.08,3,207,4,0.9529,True,0,0,9
pandastrike/panda-play,10,10,10,0.5,2,0.5,1,1,-105.83,2,128,2,0.7717,False,0,0,2
tarmann/ember-actions-service,11,11,11,0.25,5,0.5,1,2,-184.67,3,69,4,0.7556,False,0,0,7
gigmor/eslint-config-gigmor,12,12,12,0.5,3,0.5,2,2,-40.52,0,20,4,0.1106,False,0,0,4
felaray/cordova-template-reference,13,13,13,0.3333333333333333,1,0.6666666666666666,2,4,6.04,0,16,6,0.9887,False,0,0,18
stelgenhof/homebridge-ailight,14,14,14,1.0,6,0.0,1,0,-37.76,5,20,1,0.9808,False,0,0,12
kevinbalicot/yion,15,15,15,0.0,2,1.0,0,2,-141.53,0,68,2,0.9001,True,0,0,8
nearform/node-clinic-flame,16,16,16,0.1,4,0.8,1,8,-59.82,19,158,10,-0.4986,True,1,1,18
sonaye/shakl,17,17,17,1.0,3,0.0,2,0,-699.6,11,90,2,0.958,False,0,0,25
silversonicaxel/gherkin-detailer,18,18,18,0.0,2,1.0,0,2,-21.76,2,229,2,0.0,True,0,0,6
dubzzz/fast-check,19,19,19,0.0,4,0.8181818181818182,0,9,-132.49,117,896,11,0.6929,False,1,0,13
IonicaBizau/formatoid,20,20,20,0.0,9,1.0,0,1,-8.69,5,30,1,0.9896,False,1,0,71
menezes-ssz/feature-express,21,21,21,0.1111111111111111,5,0.6666666666666666,1,6,-168.08,31,66,9,0.4968,False,0,0,10
bouchal/node-kontik,22,22,22,0.0,1,1.0,0,3,-64.46,0,16,3,0.9571,False,0,0,21
dabbott/react-native-web-player,23,23,23,0.14285714285714285,1,0.7142857142857143,1,5,-75.5,657,161,7,0.9853,True,0,0,85
